X,Y,FID,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B01001_001E,B01001_001M,B01001_calc_numLT18E,B01001_calc_numLT18M,B01001_calc_pctLT18E,B01001_calc_pctLT18M,B01001_calc_numGE65E,B01001_calc_numGE65M,B01001_calc_pctGE65E,B01001_calc_pctGE65M,B01001_calc_numDependE,B01001_calc_numDependM,B01001_calc_pctDependE,B01001_calc_pctDependM,B01002_001E,B01002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M,B03002_calc_pctNHWhiteE,B03002_calc_pctNHWhiteM,B03002_calc_pctBlackE,B03002_calc_pctBlackM,B03002_calc_pctAIANE,B03002_calc_pctAIANM,B03002_calc_pctAsianE,B03002_calc_pctAsianM,B03002_calc_pctNHOPIE,B03002_calc_pctNHOPIM,B03002_calc_pctOtherE,B03002_calc_pctOtherM,B03002_calc_pct2OrMoreE,B03002_calc_pct2OrMoreM,B03002_calc_pctHispLatE,B03002_calc_pctHispLatM,B05011_001E,B05011_001M,B05003_calc_pctFBE,B05003_calc_pctFBM,B19049_001E,B19049_001M,B25002_001E,B25002_001M,B25002_002E,B25002_002M,B25002_003E,B25002_003M,B25003_001E,B25003_001M,B25003_002E,B25003_002M,B25003_003E,B25003_003M,B25003_calc_pctOwnE,B25003_calc_pctOwnM,B25058_001E,B25058_001M,B25077_001E,B25077_001M
-86.64274826,32.53507415,1,161526,1001,1539602123,25706961,Autauga County,Alabama,55200,,13369,478,24.2,,8050,489,14.6,,21419,684,38.8,,37.8,0.4,41412,59,10475,212,159,68,568,166,5,11,41,59,1012,251,1528,,75,,19,,0.3,,1,,0,,0.1,,1.8,,2.8,,1114,183,2,,58786,2972,23315,71,21115,383,2200,380,21115,383,15814,494,5301,448,74.9,1.904749873,770,48,147900,5685
-87.72265184,30.7287734,2,161527,1003,4117546676,1133055836,Baldwin County,Alabama,208107,,45677,1079,21.9,,40665,1282,19.5,,86342,1676,41.5,,42.8,0.3,172768,227,19529,317,1398,315,1668,360,9,13,410,288,2972,585,9353,,83,,9.4,,0.7,,0.8,,0,,0.2,,1.4,,4.5,,7170,833,3.4,,55962,1204,111945,206,78622,1183,33323,1122,78622,1183,57881,1171,20741,1053,73.6,0.995624916,761,34,189800,4020
-85.39309123,31.86989241,3,161528,1005,2292144655,50538698,Barbour County,Alabama,25782,,5436,251,21.1,,4634,301,18,,10070,392,39.1,,39.9,0.5,11898,22,12199,184,63,40,85,38,1,3,86,69,344,161,1106,,46.1,,47.3,,0.2,,0.3,,0,,0.3,,1.3,,4.3,,646,109,2.5,,34186,2552,11937,123,9186,280,2751,259,9186,280,5640,284,3546,324,61.4,2.460883347,399,31,92900,7468
-87.12643289,32.99882695,4,161529,1007,1612167481,9602089,Bibb County,Alabama,22527,,4659,394,20.7,,3661,381,16.3,,8320,548,36.9,,39.9,1.1,16801,22,4974,97,8,16,37,54,0,22,0,22,160,89,547,,74.6,,22.1,,0,,0.2,,0,,0,,0.7,,2.4,,325,131,1.4,,45340,5618,9161,77,6840,321,2321,310,6840,321,5135,333,1705,290,75.1,3.359883201,460,32,96500,12376
-86.56729153,33.98110155,5,161530,1009,1670103911,15015423,Blount County,Alabama,57645,,13468,441,23.4,,10233,523,17.8,,23701,684,41.1,,40.8,0.4,50232,229,820,159,124,67,198,33,18,32,174,229,818,166,5261,,87.1,,1.4,,0.2,,0.3,,0,,0.3,,1.4,,9.1,,2513,266,4.4,,48695,2703,24222,55,20600,396,3622,386,20600,396,16197,494,4403,410,78.6,1.861769602,443,20,124700,4967
-85.71571691,32.10069567,6,161531,1011,1613059160,6054988,Bullock County,Alabama,10352,,2150,259,20.8,,1616,235,15.6,,3766,350,36.4,,39.6,1.6,2228,19,7893,146,122,139,56,71,0,19,2,4,0,19,51,51,21.5,,76.2,,1.2,,0.5,,0,,0,,0,,0.5,,96,71,0.9,,32152,10285,4526,64,3609,196,917,198,3609,196,2726,213,883,193,75.5,4.243252417,402,118,77500,12287
-86.68028808,31.75268815,7,161532,1013,2012002530,2701198,Butler County,Alabama,20025,,4566,232,22.8,,3806,318,19,,8372,394,41.8,,40.7,0.6,10384,22,9027,106,2,4,231,44,0,22,0,22,314,94,67,43,51.9,,45.1,,0,,1.2,,0,,0,,1.6,,0.3,,275,51,1.4,,39109,2026,10026,51,6708,274,3318,265,6708,274,4692,232,2016,234,69.9,1.949027417,374,25,88300,8202
-85.82598934,33.77161861,8,161533,1015,1569189622,16627597,Calhoun County,Alabama,115098,,25196,579,21.9,,19386,738,16.8,,44582,938,38.7,,39.7,0.3,83423,34,23618,387,227,83,1065,146,9,14,38,28,2515,444,4203,,72.5,,20.5,,0.2,,0.9,,0,,0,,2.2,,3.7,,3059,357,2.7,,45197,1578,53682,184,45033,683,8649,641,45033,683,31286,654,13747,710,69.5,0.999420086,488,13,113800,3386
-85.39206123,32.91457555,9,161534,1017,1545085607,16971701,Chambers County,Alabama,33826,,7006,358,20.7,,6409,398,18.9,,13415,535,39.7,,43,0.5,18872,2,13319,159,97,43,405,38,0,25,18,29,347,159,768,,55.8,,39.4,,0.3,,1.2,,0,,0.1,,1,,2.3,,470,110,1.4,,39872,2347,16981,72,13516,372,3465,365,13516,372,9159,398,4357,435,67.8,2.278713185,456,23,88400,4657
-85.60379323,34.17627007,10,161535,1019,1433623321,120308339,Cherokee County,Alabama,25853,,5286,295,20.4,,5621,409,21.7,,10907,504,42.2,,45.9,0.5,23730,22,1267,76,236,130,42,47,0,22,0,22,180,136,398,,91.8,,4.9,,0.9,,0.2,,0,,0,,0.7,,1.5,,205,93,0.8,,41014,1931,16531,57,10606,370,5925,381,10606,370,8374,410,2232,323,79,2.712387095,378,21,123100,10806
-86.71879344,32.84806234,11,161536,1021,1794477075,20592144,Chilton County,Alabama,43930,,10647,503,24.2,,6927,443,15.8,,17574,670,40,,38.6,0.9,35205,93,4112,333,39,178,190,61,0,25,80,93,888,383,3416,,80.1,,9.4,,0.1,,0.4,,0,,0.2,,2,,7.8,,1970,300,4.5,,45182,3184,19586,77,16751,494,2835,470,16751,494,12538,528,4213,494,74.8,2.250104931,450,32,102200,7671
-88.26314365,32.02013183,12,161537,1023,2365869835,19144469,Choctaw County,Alabama,13075,,2650,198,20.3,,2884,252,22.1,,5534,320,42.3,,46.1,0.3,7370,11,5570,75,9,9,13,22,0,19,5,11,35,28,73,63,56.4,,42.6,,0.1,,0.1,,0,,0,,0.3,,0.6,,65,47,0.5,,34884,2927,7344,33,5350,241,1994,239,5350,241,4263,237,1087,189,79.7,2.596171108,361,44,75200,4235
-87.83086357,31.6772463,13,161538,1025,3207494111,36657891,Clarke County,Alabama,24387,,5389,245,22.1,,4626,324,19,,10015,406,41.1,,42.3,0.6,12895,22,11173,91,25,30,123,22,0,22,0,22,123,73,48,43,52.9,,45.8,,0.1,,0.5,,0,,0,,0.5,,0.2,,93,62,0.4,,36127,4237,12741,42,9358,322,3383,313,9358,322,6314,359,3044,289,67.5,3.054033373,389,19,100800,13236
-85.86048828,33.2692908,14,161539,1027,1564251835,5285207,Clay County,Alabama,13378,,2819,226,21.1,,2652,268,19.8,,5471,351,40.9,,43.7,0.7,10740,19,1971,61,119,36,18,22,0,19,26,31,89,62,415,,80.3,,14.7,,0.9,,0.1,,0,,0.2,,0.7,,3.1,,261,84,2,,41225,4334,6802,39,5236,241,1566,235,5236,241,3789,246,1447,198,72.4,3.313544018,376,34,102200,14244
-85.51871901,33.67485727,15,161540,1029,1450663940,2354896,Cleburne County,Alabama,14938,,3438,229,23,,2803,232,18.8,,6241,326,41.8,,42.5,0.9,13839,21,393,73,39,65,3,6,0,19,11,21,291,76,362,,92.6,,2.6,,0.3,,0,,0,,0.1,,1.9,,2.4,,225,56,1.5,,40188,4625,6806,44,5726,180,1080,180,5726,180,4332,222,1394,213,75.7,3.061933977,419,25,112000,9021
-85.98820164,31.40286622,16,161541,1031,1758565925,3907189,Coffee County,Alabama,51288,,12161,395,23.7,,8375,370,16.3,,20536,541,40,,39.3,0.4,36223,56,8746,281,581,92,666,102,0,28,41,56,1482,315,3549,,70.6,,17.1,,1.1,,1.3,,0,,0.1,,2.9,,6.9,,1840,345,3.6,,53155,2474,23088,57,19789,339,3299,333,19789,339,12822,403,6967,455,64.8,1.707412394,560,32,149100,5892
-87.77794322,34.65310101,17,161542,1033,1535202321,79700277,Colbert County,Alabama,54495,,11608,460,21.3,,10502,498,19.3,,22110,678,40.6,,42.7,0.4,42865,35,8561,277,367,160,244,47,29,34,18,29,1062,291,1349,,78.7,,15.7,,0.7,,0.4,,0.1,,0,,1.9,,2.5,,905,187,1.7,,47558,2607,26466,58,21799,445,4667,431,21799,445,15849,529,5950,404,72.7,1.919932906,449,18,113500,4865
-86.99366861,31.4295156,18,161543,1035,2202007854,6632046,Conecuh County,Alabama,12514,,2651,357,21.2,,2707,333,21.6,,5358,488,42.8,,44.8,0.1,6274,5,5961,140,56,46,18,19,0,19,2,5,98,87,105,108,50.1,,47.6,,0.4,,0.1,,0,,0,,0.8,,0.8,,89,50,0.7,,33177,2481,7143,28,4574,254,2569,254,4574,254,3504,298,1070,213,76.6,4.934486055,333,25,76600,5457
-86.24768134,32.93639877,19,161544,1037,1685850815,39987271,Coosa County,Alabama,10855,,1850,250,17,,2368,237,21.8,,4218,344,38.9,,46.9,0.5,7084,19,3713,49,8,12,0,19,0,19,0,19,0,19,50,48,65.3,,34.2,,0.1,,0,,0,,0,,0,,0.5,,51,79,0.5,,38301,3436,6558,60,4103,243,2455,252,4103,243,3364,227,739,172,82,2.65147953,343,38,87900,13046
-86.451262,31.24885037,20,161545,1039,2669129020,34231390,Covington County,Alabama,37351,,8190,349,21.9,,7650,373,20.5,,15840,511,42.4,,43.9,0.5,31146,25,4790,90,58,70,144,39,13,21,0,25,596,114,604,,83.4,,12.8,,0.2,,0.4,,0,,0,,1.6,,1.6,,278,77,0.7,,40601,1923,18907,85,15008,381,3899,368,15008,381,11110,336,3898,334,74,1.216769469,405,16,95500,4141
-86.31355133,31.73187623,21,161546,1041,1576952799,5388561,Crenshaw County,Alabama,13865,,3116,167,22.5,,2542,190,18.3,,5658,253,40.8,,41.5,1,9869,19,3147,146,106,22,188,19,0,19,0,19,280,146,275,,71.2,,22.7,,0.8,,1.4,,0,,0,,2,,2,,270,116,1.9,,39812,2817,6790,35,5025,193,1765,197,5025,193,3709,198,1316,147,73.8,2.73662866,344,24,79500,4464
-86.86754547,34.13218368,22,161547,1043,1903073019,52422496,Cullman County,Alabama,82313,,18572,562,22.6,,14803,645,18,,33375,855,40.5,,40.6,0.3,75826,97,954,85,348,155,334,145,0,28,9,13,1299,237,3543,,92.1,,1.2,,0.4,,0.4,,0,,0,,1.6,,4.3,,1985,310,2.4,,42558,1523,37652,92,30730,592,6922,573,30730,592,22919,645,7811,494,74.6,1.530076907,453,22,124100,5398
-85.61102373,31.43202522,23,161548,1045,1453244553,4082940,Dale County,Alabama,49255,,11506,374,23.4,,7939,416,16.1,,19445,559,39.5,,37.5,0.7,34005,187,9611,206,300,121,533,102,4,6,244,210,1488,254,3070,,69,,19.5,,0.6,,1.1,,0,,0.5,,3,,6.2,,1637,369,3.3,,45960,2816,23065,110,18670,402,4395,411,18670,402,11239,341,7431,443,60.2,1.28680756,515,28,110100,6389
-87.10645896,32.32631947,24,161549,1047,2534919599,39124778,Dallas County,Alabama,40029,,9780,429,24.4,,6705,396,16.8,,16485,584,41.2,,39.5,0.5,11024,25,28119,44,10,19,224,21,4,8,0,25,236,48,412,,27.5,,70.2,,0,,0.6,,0,,0,,0.6,,1,,528,146,1.3,,31602,1447,20336,56,16336,360,4000,365,16336,360,9767,403,6569,397,59.8,2.085625687,382,11,82600,5291
-85.80395651,34.46017079,25,161550,1049,2012676479,4121543,DeKalb County,Alabama,71200,,17480,591,24.6,,11619,548,16.3,,29099,806,40.9,,39.3,0.3,57441,24,979,146,910,239,140,71,99,117,11,20,1400,277,10220,,80.7,,1.4,,1.3,,0.2,,0.1,,0,,2,,14.4,,5325,382,7.5,,39233,2081,31462,114,26132,621,5330,601,26132,621,18604,565,7528,628,71.2,1.346269673,395,16,102700,5532
-86.1491555,32.59679691,26,161551,1051,1601769095,99957723,Elmore County,Alabama,81212,,18239,556,22.5,,11770,579,14.5,,30009,803,37,,38.6,0.3,59471,210,17148,233,186,92,392,133,0,28,197,210,1471,281,2347,,73.2,,21.1,,0.2,,0.5,,0,,0.2,,1.8,,2.9,,1446,321,1.8,,59347,2721,34004,192,29143,638,4861,553,29143,638,21480,702,7663,474,73.7,1.788513954,624,52,161100,4768
-87.1616281,31.12621659,27,161552,1053,2448115119,20504948,Escambia County,Alabama,37328,,8328,390,22.3,,6476,375,17.3,,14804,541,39.7,,39.7,0.6,22480,40,11912,263,1435,82,135,157,72,86,39,40,417,178,838,,60.2,,31.9,,3.8,,0.4,,0.2,,0.1,,1.1,,2.2,,365,200,1,,35000,3118,16595,119,13428,429,3167,396,13428,429,9237,423,4191,366,68.8,2.256883326,402,20,98200,4233
-86.03476956,34.04537657,28,161553,1055,1386373604,34568854,Etowah County,Alabama,102939,,22281,557,21.6,,18877,689,18.3,,41158,886,40,,41.3,0.5,80374,87,15816,194,424,144,739,92,66,71,80,87,1560,234,3880,,78.1,,15.4,,0.4,,0.7,,0.1,,0.1,,1.5,,3.8,,2977,293,2.9,,44023,1776,47705,75,38777,531,8928,535,38777,531,27882,604,10895,632,71.9,1.206942819,472,15,109900,4064
-87.73887546,33.7214077,29,161554,1057,1625693290,4330881,Fayette County,Alabama,16585,,3562,272,21.5,,3392,268,20.5,,6954,382,41.9,,43.8,0.4,14042,19,1858,169,0,19,108,68,6,13,0,19,286,146,285,,84.7,,11.2,,0,,0.7,,0,,0,,1.7,,1.7,,152,101,0.9,,37458,3109,8470,65,6947,236,1523,229,6947,236,5412,229,1535,221,77.9,1.965222193,367,22,83800,4711
-87.84382179,34.4417797,30,161555,1059,1641841406,32643981,Franklin County,Alabama,31542,,7806,415,24.7,,5100,340,16.2,,12906,536,40.9,,37.6,1.4,24313,29,1338,96,159,101,119,6,0,25,17,29,263,129,5333,,77.1,,4.2,,0.5,,0.4,,0,,0.1,,0.8,,16.9,,2919,564,9.3,,40459,2822,14152,55,11210,295,2942,283,11210,295,7910,388,3300,393,70.6,2.920927154,371,33,87800,3111
-85.83898689,31.09507553,31,161556,1061,1487897666,11578163,Geneva County,Alabama,26491,,5856,341,22.1,,5152,364,19.4,,11008,499,41.6,,42.4,0.8,22235,22,2468,125,191,58,109,16,4,7,0,22,457,139,1027,,83.9,,9.3,,0.7,,0.4,,0,,0,,1.7,,3.9,,406,91,1.5,,38142,3168,12768,62,10479,351,2289,348,10479,351,7420,322,3059,326,70.8,1.953692483,395,32,92300,8796
-87.95225477,32.853499,32,161557,1063,1675782061,33416141,Greene County,Alabama,8426,,1862,227,22.1,,1716,281,20.4,,3578,361,42.5,,42.5,3.8,1445,17,6707,230,48,81,0,17,0,17,0,17,83,87,143,193,17.1,,79.6,,0.6,,0,,0,,0,,1,,1.7,,8,7,0.1,,21804,4672,5075,35,2955,217,2120,210,2955,217,2031,221,924,200,68.7,5.518919382,333,25,66400,7901
-87.6290902,32.76301529,33,161558,1065,1667907112,32423361,Hale County,Alabama,14887,,3481,,23.4,,2717,247,18.3,,6198,,41.6,,39.2,0.9,5898,25,8743,143,29,45,39,41,0,19,16,25,32,49,130,128,39.6,,58.7,,0.2,,0.3,,0,,0.1,,0.2,,0.9,,86,53,0.6,,30571,4241,7777,36,5658,227,2119,225,5658,227,4044,214,1614,211,71.5,2.466294185,322,26,92700,12925
-85.24140572,31.5149189,34,161559,1067,1454926621,16986823,Henry County,Alabama,17124,,3587,242,20.9,,3696,274,21.6,,7283,366,42.5,,44.1,0.5,11805,19,4727,101,4,7,0,19,0,19,0,19,140,101,448,,68.9,,27.6,,0,,0,,0,,0,,0.8,,2.6,,185,86,1.1,,48610,3806,9096,44,6669,252,2427,240,6669,252,5522,267,1147,177,82.8,2.497902497,392,42,115100,11780
-85.30256879,31.15331839,35,161560,1069,1501854593,4683050,Houston County,Alabama,104352,,24386,337,23.4,,17615,359,16.9,,42001,492,40.2,,39.8,0.2,69826,37,27887,153,277,77,848,54,13,20,75,38,1989,171,3437,,66.9,,26.7,,0.3,,0.8,,0,,0.1,,1.9,,3.3,,2367,195,2.3,,45496,941,47187,110,39253,346,7934,349,39253,346,25741,310,13512,342,65.6,0.53812243,544,9,130500,2670
-85.99924319,34.77973271,36,161561,1071,2791974056,126334709,Jackson County,Alabama,52094,,11159,484,21.4,,9972,534,19.1,,21131,721,40.6,,43.3,0.5,46537,64,1799,162,545,174,215,47,77,81,50,65,1366,225,1505,,89.3,,3.5,,1,,0.4,,0.1,,0.1,,2.6,,2.9,,899,216,1.7,,39816,1602,25106,90,20626,420,4480,422,20626,420,15282,502,5344,378,74.1,1.909802827,398,29,105300,4819
-86.8962818,33.55468222,37,161562,1073,2878465205,32885044,Jefferson County,Alabama,659892,,151658,1628,23,,99146,1646,15,,250804,2315,38,,37.7,0.2,330862,187,280748,1302,1265,318,10169,659,206,27,1465,656,10129,1379,25048,,50.1,,42.5,,0.2,,1.5,,0,,0.2,,1.5,,3.8,,26610,1055,4,,51979,687,307372,370,260924,1524,46448,1535,260924,1524,163858,1931,97066,1721,62.8,0.642769657,648,7,154400,2019
-88.09689385,33.77960749,38,161563,1075,1566544637,1600679,Lamar County,Alabama,13933,,3065,266,22,,2938,276,21.1,,6003,383,43.1,,44.5,0.6,11981,19,1558,134,0,19,0,19,0,19,107,136,69,61,218,,86,,11.2,,0,,0,,0,,0.8,,0.5,,1.6,,86,95,0.6,,36756,2887,7390,39,5974,265,1416,264,5974,265,4567,250,1407,209,76.4,2.452078432,263,25,77200,5388
-87.65403418,34.90145813,39,161564,1077,1730146083,133608930,Lauderdale County,Alabama,92585,,18522,572,20,,17876,723,19.3,,36398,922,39.3,,41.4,0.5,78501,52,9183,255,417,121,612,64,61,48,109,89,1290,302,2412,,84.8,,9.9,,0.5,,0.7,,0.1,,0.1,,1.4,,2.6,,1905,316,2.1,,46265,1490,44792,164,38514,545,6278,528,38514,545,26376,581,12138,596,68.5,1.156091249,481,11,136400,5042
-87.31103812,34.52196998,40,161565,1079,1788864247,68682382,Lawrence County,Alabama,33171,,7232,358,21.8,,5787,358,17.4,,13019,506,39.2,,42.2,0.7,25390,46,3615,218,1878,326,44,63,24,34,0,25,1513,372,707,,76.5,,10.9,,5.7,,0.1,,0.1,,0,,4.6,,2.1,,324,132,1,,44515,2491,15373,44,12811,345,2562,344,12811,345,10133,343,2678,268,79.1,1.622115725,366,16,107200,7192
-85.35559325,32.601246,41,161566,1081,1573548952,21492291,Lee County,Alabama,159287,,34202,814,21.5,,17739,699,11.1,,51941,1073,32.6,,31.4,0.2,107395,191,36389,425,226,107,6475,183,0,28,295,184,2642,477,5865,,67.4,,22.8,,0.1,,4.1,,0,,0.2,,1.7,,3.7,,8685,720,5.5,,48056,1506,68081,249,59373,763,8708,706,59373,763,35821,930,23552,858,60.3,1.36102178,645,19,165000,4054
-86.98142226,34.8103116,42,161567,1083,1450277885,122329729,Limestone County,Alabama,93052,,21412,663,23,,13723,655,14.7,,35135,932,37.8,,39.5,0.5,71554,13,12405,291,821,160,1163,234,0,28,1,2,1629,400,5479,,76.9,,13.3,,0.9,,1.2,,0,,0,,1.8,,5.9,,3439,408,3.7,,56460,3118,36069,125,32126,524,3943,538,32126,524,25064,688,7062,577,78,1.722491403,469,22,152900,4470
-86.65011975,32.15496383,43,161568,1085,1854201378,23721835,Lowndes County,Alabama,10236,,2330,151,22.8,,1828,150,17.9,,4158,213,40.6,,41.6,1,2505,19,7586,89,13,20,0,19,0,19,0,19,62,57,70,47,24.5,,74.1,,0.1,,0,,0,,0,,0.6,,0.7,,32,31,0.3,,30833,3373,5187,45,4180,158,1007,156,4180,158,3079,204,1101,162,73.7,4.008225835,351,88,66300,8763
-85.69267609,32.386106,44,161569,1087,1576855717,11345392,Macon County,Alabama,19054,,3411,169,17.9,,3542,226,18.6,,6953,282,36.5,,38,0.6,2972,19,15583,52,43,33,50,46,0,19,9,14,69,37,328,,15.6,,81.8,,0.2,,0.3,,0,,0,,0.4,,1.7,,201,78,1.1,,32074,2430,10274,136,7637,268,2637,252,7637,268,5021,234,2616,236,65.7,2.016247186,385,16,79500,3942
-86.55022647,34.76343717,45,161570,1089,2076091216,28831382,Madison County,Alabama,357560,,79195,1191,22.1,,51308,1146,14.3,,130503,1653,36.5,,38.5,0.2,232115,339,85293,901,1847,295,8992,410,307,51,1066,434,10646,1056,17294,,64.9,,23.9,,0.5,,2.5,,0.1,,0.3,,3,,4.8,,19571,1030,5.5,,63417,1447,159299,251,145256,1161,14043,1109,145256,1161,97650,1375,47606,1312,67.2,0.779322223,664,14,180600,2526
-87.78947761,32.24797623,46,161572,1091,2530140238,14966620,Marengo County,Alabama,19538,,4468,407,22.9,,3690,292,18.9,,8158,501,41.8,,42.7,0.6,8791,12,10518,120,51,31,0,19,0,19,7,12,56,31,115,119,45,,53.8,,0.3,,0,,0,,0,,0.3,,0.6,,87,76,0.4,,32809,3613,10325,41,7768,271,2557,272,7768,271,5533,269,2235,326,71.2,2.411855312,324,32,90000,11422
-87.88719313,34.13676115,47,161573,1093,1922656563,3184076,Marion County,Alabama,29965,,6316,312,21.1,,6219,402,20.8,,12535,509,41.8,,44.3,0.4,27559,22,1047,116,122,54,49,41,0,22,0,22,436,138,752,,92,,3.5,,0.4,,0.2,,0,,0,,1.5,,2.5,,376,124,1.3,,35392,3171,14867,85,12212,403,2655,397,12212,403,9203,416,3009,359,75.4,2.327960175,327,36,86500,5299
-86.30664099,34.36719598,48,161574,1095,1465531860,148495464,Marshall County,Alabama,95145,,23654,568,24.9,,15941,592,16.8,,39595,820,41.6,,38.7,0.4,77297,99,2456,133,334,104,570,103,46,37,90,86,1391,175,12961,,81.2,,2.6,,0.4,,0.6,,0,,0.1,,1.5,,13.6,,6245,511,6.6,,42490,1703,40630,129,34896,540,5734,508,34896,540,24555,596,10341,578,70.4,1.315811364,446,12,122500,4035
-88.20684957,30.79090067,49,161575,1097,3184053031,1074031983,Mobile County,Alabama,414659,,98337,1300,23.7,,63650,1396,15.3,,161987,1908,39.1,,37.6,0.2,236987,284,146600,731,2872,375,8117,422,62,50,1315,484,6733,771,11973,,57.2,,35.4,,0.7,,2,,0,,0.3,,1.6,,2.9,,13598,993,3.3,,46166,1129,183164,485,155831,1271,27333,1193,155831,1271,101120,1379,54711,1228,64.9,0.709212816,635,8,126600,1798
-87.36523274,31.57129588,50,161576,1099,2656469661,22609681,Monroe County,Alabama,21512,,4920,458,22.9,,4060,320,18.9,,8980,559,41.7,,42.3,0.8,11689,22,8774,171,346,47,120,22,0,22,0,22,281,185,302,,54.3,,40.8,,1.6,,0.6,,0,,0,,1.3,,1.4,,136,61,0.6,,30141,4709,11398,45,8149,259,3249,268,8149,259,4962,280,3187,327,60.9,2.839145525,335,45,103000,10308
-86.20765436,32.22055525,51,161577,1101,2033918497,37844005,Montgomery County,Alabama,226941,,53669,888,23.6,,32183,900,14.2,,85852,1264,37.8,,36.2,0.1,78393,55,130513,437,283,103,6059,357,39,39,189,105,3716,574,7749,,34.5,,57.5,,0.1,,2.7,,0,,0.1,,1.6,,3.4,,10619,691,4.7,,47990,1315,104355,204,89835,873,14520,882,89835,873,52626,995,37209,982,58.6,0.950089994,652,10,127500,2581
-86.85295318,34.45361086,52,161578,1103,1500612908,50921199,Morgan County,Alabama,119122,,27384,654,23,,19865,749,16.7,,47249,994,39.7,,40.4,0.3,90497,95,15141,293,713,268,775,134,48,62,89,97,2168,377,9691,,76,,12.7,,0.6,,0.7,,0,,0.1,,1.8,,8.1,,5047,448,4.2,,49751,2001,51951,169,45646,672,6305,665,45646,672,32928,703,12718,670,72.1,1.115383341,480,9,131000,4202
-87.29433074,32.63874652,53,161579,1105,1863900621,10937769,Perry County,Alabama,9486,,2069,264,21.8,,1764,292,18.6,,3833,394,40.4,,37.7,1.6,2798,17,6569,66,6,9,21,26,0,17,3,5,0,17,89,60,29.5,,69.2,,0.1,,0.2,,0,,0,,0,,0.9,,143,129,1.5,,23561,2573,4751,85,3079,238,1672,240,3079,238,2240,240,839,190,72.8,5.397625154,313,38,65900,7114
-88.08864551,33.28123382,54,161580,1107,2282893837,22521210,Pickens County,Alabama,20298,,4002,192,19.7,,3729,277,18.4,,7731,337,38.1,,42.4,0.6,10925,17,8148,138,25,37,13,22,8,12,8,17,239,134,932,,53.8,,40.1,,0.1,,0.1,,0,,0,,1.2,,4.6,,663,145,3.3,,37458,3062,9557,102,7530,262,2027,248,7530,262,5569,285,1961,217,74,2.775491555,302,34,97500,5393
-85.94092584,31.80290022,55,161581,1109,1740647518,2336975,Pike County,Alabama,33403,,6539,305,19.6,,4886,353,14.6,,11425,467,34.2,,30.8,0.6,18765,36,12661,463,209,56,715,69,3,5,21,36,766,472,263,114,56.2,,37.9,,0.6,,2.1,,0,,0.1,,2.3,,0.8,,1435,377,4.3,,34678,3262,16077,265,11547,553,4530,425,11547,553,6845,369,4702,498,59.3,1.467090426,461,28,117400,7889
-85.45908649,33.29400592,56,161582,1111,1503615935,9285419,Randolph County,Alabama,22574,,4914,266,21.8,,4512,354,20,,9426,443,41.8,,42.7,0.5,16991,24,4413,223,51,64,68,73,51,79,13,22,322,151,665,,75.3,,19.5,,0.2,,0.3,,0.2,,0.1,,1.4,,2.9,,360,113,1.6,,41449,3941,12056,64,8643,314,3413,316,8643,314,6345,334,2298,307,73.4,2.79649561,379,29,88700,5802
-85.18496254,32.28856612,57,161583,1113,1660577613,15641643,Russell County,Alabama,58213,,14358,535,24.7,,7776,488,13.4,,22134,724,38,,35.9,0.3,27354,255,24787,571,160,129,451,125,72,105,240,268,2029,582,3120,,47,,42.6,,0.3,,0.8,,0.1,,0.4,,3.5,,5.4,,1481,429,2.5,,40978,2192,27426,83,22740,505,4686,502,22740,505,13601,510,9139,656,59.8,1.807108436,588,26,118600,7082
-86.31454341,33.71602166,58,164997,1115,1635844944,56400695,St. Clair County,Alabama,87306,,19998,701,22.9,,13891,667,15.9,,33889,968,38.8,,40.3,0.5,75109,25,8212,235,285,133,700,120,8,16,0,28,903,282,2089,,86,,9.4,,0.3,,0.8,,0,,0,,1,,2.4,,1499,241,1.7,,54887,2057,36628,118,32172,526,4456,541,32172,526,25397,685,6775,600,78.9,1.693400586,551,29,148200,5362
-86.66055665,33.26452864,59,161584,1117,2034112797,62537787,Shelby County,Alabama,211261,,50611,863,24,,30125,863,14.3,,80736,1220,38.2,,38.9,0.2,165058,219,25166,423,468,194,4249,400,47,28,471,275,3677,594,12125,,78.1,,11.9,,0.2,,2,,0,,0.2,,1.7,,5.7,,11160,747,5.3,,75761,1348,86077,217,78328,781,7749,720,78328,781,62406,882,15922,708,79.7,0.798041124,835,17,204500,3198
-88.19883722,32.59156465,60,161585,1119,2340898915,24634883,Sumter County,Alabama,12985,,2522,228,19.4,,2198,259,16.9,,4720,345,36.3,,35.8,0.9,3201,19,9345,272,8,13,338,261,0,19,51,78,29,30,13,19,24.7,,72,,0.1,,2.6,,0,,0.4,,0.2,,0.1,,268,144,2.1,,23132,2361,6858,90,5047,276,1811,257,5047,276,3278,269,1769,263,64.9,3.973961499,380,104,74600,9841
